"Cherrapunji","2","Seven Sisters Falls (Free)","Lunch at local stall (₹300), Mawsmai Cave (₹150)","Dinner at guesthouse (₹500)","₹1,450","₹1,200","₹800","₹150","Clouds Nest","Local Stall, Guesthouse Dining","Caves, Waterfalls","4","[Thrillophilia](https://thrillophilia.com/cherrapunji)","[Vlog](https://youtu.be/example)"
"Cherrapunji","3","Eco Park (₹50)","Lunch at Bamboo Hut (₹500), Double Decker Bridge trek (₹300)","Dinner at guesthouse (₹500)","₹1,850","₹1,200","₹1,000","₹350","Clouds Nest","Bamboo Hut, Guesthouse Dining","Trekking","4","[Travel Blog](https://example.com)","[Vlog](https://youtu.be/example)"
"Cherrapunji","4","Shopping (₹500)","Lunch at market (₹400), Departure","-","₹2,100","₹1,200","₹400","₹500","Clouds Nest","Market","Shopping","4","[Market Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Sundarbans","1","Check-in at Tiger Camp (₹2,500), Boat safari (₹1,500)","Lunch at camp (₹600), Mangrove walk (Free)","Dinner at camp (₹800)","₹5,400","₹2,500","₹1,400","₹1,500","Tiger Camp","Camp Dining","Boat safari","3","[Sundarbans NP](https://sundarbannationalpark.in)","[Vlog](https://youtu.be/example)"
"Sundarbans","2","Birdwatching cruise (₹1,200)","Lunch at local hut (₹500), Village visit (Free)","Dinner at camp (₹800)","₹3,700","₹2,500","₹1,300","₹1,200","Tiger Camp","Local Hut, Camp Dining","Birdwatching","3","[Thrillophilia](https://thrillophilia.com/sundarbans)","[Vlog](https://youtu.be/example)"
"Sundarbans","3","Crocodile spotting (₹800)","Lunch at camp (₹600), Departure","-","₹3,900","₹2,500","₹600","₹800","Tiger Camp","Camp Dining","Wildlife spotting","3","[Wildlife Blog](https://example.com)","[Vlog](https://youtu.be/example)"
"Gir","1","Check-in at Lion Lodge (₹6,000), Jeep safari (₹3,000)","Lunch at lodge (₹1,200), Nature walk (Free)","Dinner at lodge (₹1,500)","₹11,700","₹6,000","₹2,700","₹3,000","Lion Lodge","Lodge Dining","Safari","4","[Gir National Park](https://girnationalpark.in)","[Vlog](https://youtu.be/example)"
"Gir","2","Private birding tour (₹2,500)","Lunch at organic farm (₹1,500), Tribal village visit (Free)","Dinner at lodge (₹1,500)","₹7,500","₹6,000","₹3,000","₹2,500","Lion Lodge","Organic Farm, Lodge Dining","Birdwatching","4","[Thrillophilia](https://thrillophilia.com/gir)","[Vlog](https://youtu.be/example)"
"Gir","3","Crocodile park (₹1,000)","Lunch at lodge (₹1,200), Relax (Free)","Sunset photography (Free)","₹8,200","₹6,000","₹1,200","₹1,000","Lion Lodge","Lodge Dining","Wildlife park","4","[Photography Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Gir","4","Shopping (₹2,000)","Lunch at lodge (₹1,200), Departure","-","₹9,200","₹6,000","₹1,200","₹2,000","Lion Lodge","Lodge Dining","Shopping","4","[Souvenir Guide](https://example.com)","[Vlog](https://youtu.be/example)"
